title,description
"Operating system: Linux (Ubuntu 22.04 LTS recommended)","Développement et CI testés sous Linux (Ubuntu 22.04 recommandé). D'autres systèmes Unix-like devraient fonctionner. Support Windows non testé."
"Python 3.10+","Installez Python 3.10 ou ultérieur (vérifier avec python3 --version). Utiliser un environnement virtuel pour isoler les dépendances."
"pip","pip est requis pour installer les paquets Python (pip install -r requirements.txt)."
"virtualenv / venv","Utiliser python -m venv .venv && source .venv/bin/activate pour créer/activer un environnement virtuel."
"Redis server (>=6)","Un serveur Redis en fonctionnement est requis pour le caching et les sessions (ex. apt install redis-server). Le client Python redis>=7.1.0 est utilisé."
"SQLite3","Le projet inclut une base SQLite (database/database.db) utilisée en développement ; sqlite3 est utile pour inspection locale."
"Git","Git est requis pour gérer le dépôt et pour importer le CSV sur GitLab."
"GitLab account","Un compte GitLab avec accès au projet est nécessaire pour importer les requirements via l'interface d'import."
"Flask>=3.1.2","Framework web principal du projet (installer via pip)."
"Flask-Login>=0.6.3","Extension Flask pour la gestion des sessions/utilisateurs."
"redis>=7.1.0","Client Python pour Redis (communication avec le serveur Redis)."
"click>=8.3.1","Utilitaire CLI utilisé par le projet."
"blinker>=1.9.0","Lib utilisée pour les signaux (Flask utilise Blinker si disponible)."
"Jinja2>=3.1.6","Moteur de templates utilisé par Flask."
"itsdangerous>=2.2.0","Utilitaires de sécurité pour Flask (signatures, tokens)."
"MarkupSafe>=3.0.3","Dépendance de Jinja2 pour l'échappement sécurisé."
"Werkzeug>=3.1.3","Utilitaires WSGI et helpers pour Flask."
"requirements.txt present","Assurez-vous d'utiliser requirements.txt pour installer les dépendances : pip install -r requirements.txt."

